Name,Price,Market Cap,Price in BTC,Volume in 24 Hours
Kusama,$438.62,$142.1M,0.00674706,$182.9M
eCash,$0.0002072,$8.6B,0,$140.3M
Loopring,$3.10,$499.7M,0.00004774,$6.1B
Olympus,$925.58,$8.3B,0.01424201,$71.5M
TerraUSD,$1.01,$338.2M,0.00001554,$79.5M
THORChain,$12.86,$7.9B,0.00019788,$94.4M
IOTA,$1.33,$1.8B,0.00002050,$56.3M
Quant,$272.36,$7.8B,0.00419084,$45.0M
cUSDC,$0.022410,$951.0M,0.00000034,$42.8M
Arweave,$70.51,$7.7B,0.00108495,$105.7M
NEO,$48.61,$28.2M,0.00074774,$307.3M
Bitcoin,$178.26,$7.5B,0.00274212,$115.4M
Harmony,$0.282319,$1.2B,0.00000434,$180.4M
Bitcoin,$157.15,$7.3B,0.00241809,$72.7K
Amp,$0.060232,$419.7M,0.00000093,$43.5M
Enjin,$3.09,$7.1B,0.00004752,$388.4M
Chiliz,$0.531860,$361.3M,0.00000818,$1.3B
Maker,"$2,988.58",$6.9B,0.04597176,$1.1B
Huobi,"$64,688",$17.9M,0.99536194,$622.5K
Magic,$1.01,$6.6B,0.00001554,$142.0M
BitTorrent,$0.003844,$757.8M,0.00000006,$526.5M
Holo,$0.014042,$6.5B,0.00000022,$288.2M
Stacks,$2.35,$926.5M,0.00003616,$55.8M
Waves,$24.24,$6.5B,0.00037282,$153.0M
Zcash,$204.72,$253.0M,0.00314909,$1.1B
Dash,$230.87,$6.0B,0.00355135,$591.9M
The,$2.65,$582.5M,0.00004078,$750.5M
SafeMoon,$0.000003810,$5.6B,0,$10.5M
Sushi,$11.31,$268.7M,0.00017403,$171.1M
Celo,$6.15,$5.2B,0.00009463,$42.1M
Compound,$336.92,$267.9M,0.00518265,$332.6M
Celsius,$4.58,$5.0B,0.00007045,$4.1M
Synthetix,$10.05,$115.2M,0.00015461,$120.7M
Theta,$0.349155,$5.0B,0.00000537,$31.4M
NEXO,$3.40,$1.2B,0.00005222,$13.0M
KuCoin,$24.31,$4.8B,0.00037406,$60.8M
OMG,$13.24,$595.3M,0.00020363,$9.2B
NEM,$0.195774,$4.6B,0.00000301,$66.5M
Basic,$1.17,$196.9M,0.00001805,$300.5M
Qtum,$16.30,$4.2B,0.00025068,$305.5M
Spell,$0.022814,$355.1,0.00000035,$81.5M
Curve,$4.23,$4.1B,0.00006514,$286.7M
Wonderland,"$8,220.09",$79.5M,0.12648350,$74.4M
Mina,$5.65,$4.1B,0.00008694,$695.8M
Huobi,$9.96,$575.1M,0.00015319,$69.8M
IoTeX,$0.168337,$4.0B,0.00000259,$918.3M
Livepeer,$62.48,$3.4B,0.00096103,$363.3M
ECOMI,$0.006850,$4.0B,0.00000011,$6.7M
Voyager,$2.74,$230.6M,0.00004217,$2.7M
